Campaign;"Daily Budget";"Campaign Type";Networks;Languages;"DSA Website";"DSA Language";"DSA targeting source";"Targeting expansion";ID;Location;"Ad rotation";"Targeting method";"Exclusion method";"Bid Strategy Type";"Enhanced CPC";"Max CPC";"Ad Group Type";"Ad Group";"Ad type";"Description line 1";"Description line 2";"Dynamic Ad Target Condition 1";"Dynamic Ad Target Value 1";"Dynamic Ad Target Condition 2";"Dynamic Ad Target Value 2";"Dynamic Ad Target Condition 3";"Campaign Status";"Ad Group Status";Status
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR34";;;;"URL equals";https://autoradio-fr.com/34-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR34";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR35";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR35";;;;"URL equals";https://autoradio-fr.com/35-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR35";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR36";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR36";;;;"URL equals";https://autoradio-fr.com/36-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR36";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A6L 2012 _ FR738";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6L 2012 _ FR738";;;;"URL equals";https://autoradio-fr.com/738-camera-de-recul-ccd-audi-a6l-2012.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6L 2012 _ FR738";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes ML W163 (2002-2005) _ FR38";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes ML W163 (2002-2005) _ FR38";;;;"URL equals";https://autoradio-fr.com/38-autoradio-gps-android-mercedes-ml-w163-2002-2005.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes ML W163 (2002-2005) _ FR38";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes CLK W209 (2002-2005) _ FR39";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes CLK W209 (2002-2005) _ FR39";;;;"URL equals";https://autoradio-fr.com/39-autoradio-gps-android-mercedes-clk-w209-2002-2005.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes CLK W209 (2002-2005) _ FR39";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Classe C W203 (2000-2004) _ FR40";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe C W203 (2000-2004) _ FR40";;;;"URL equals";https://autoradio-fr.com/40-autoradio-gps-android-mercedes-c-class-w203-2000-2004.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe C W203 (2000-2004) _ FR40";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes SLK W170 (1998-2001) _ FR41";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes SLK W170 (1998-2001) _ FR41";;;;"URL equals";https://autoradio-fr.com/41-autoradio-gps-android-mercedes-slk-w170-1998-2001.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes SLK W170 (1998-2001) _ FR41";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Classe E W210 (1998-2001) _ FR42";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe E W210 (1998-2001) _ FR42";;;;"URL equals";https://autoradio-fr.com/42-autoradio-gps-android-mercedes-e-class-w210-1998-2001.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe E W210 (1998-2001) _ FR42";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Classe A W168 (1998-2001) _ FR43";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe A W168 (1998-2001) _ FR43";;;;"URL equals";https://autoradio-fr.com/43-autoradio-gps-android-mercedes-a-class-w168-1998-2001.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Classe A W168 (1998-2001) _ FR43";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Benz A-W169 (2004-2011) _ FR44";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz A-W169 (2004-2011) _ FR44";;;;"URL equals";https://autoradio-fr.com/44-autoradio-gps-android-mercedes-benz-a-w169-2004-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz A-W169 (2004-2011) _ FR44";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Benz B-W245 (2004-2012) _ FR45";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz B-W245 (2004-2012) _ FR45";;;;"URL equals";https://autoradio-fr.com/45-autoradio-gps-android-mercedes-benz-b-w245-2004-2012.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz B-W245 (2004-2012) _ FR45";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Benz Viano (2006-2011) _ FR46";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Viano (2006-2011) _ FR46";;;;"URL equals";https://autoradio-fr.com/46-autoradio-gps-android-mercedes-benz-viano-2006-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Viano (2006-2011) _ FR46";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Benz Vito (2006-2017) _ FR47";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Vito (2006-2017) _ FR47";;;;"URL equals";https://autoradio-fr.com/47-autoradio-gps-android-mercedes-benz-vito-w639-2006-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Vito (2006-2017) _ FR47";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Mercedes Benz Sprinter _ FR48";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Sprinter _ FR48";;;;"URL equals";https://autoradio-fr.com/48-autoradio-gps-android-71-mercedes-benz-sprinter.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Mercedes Benz Sprinter _ FR48";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A6L (2009-2011) _ FR737";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6L (2009-2011) _ FR737";;;;"URL equals";https://autoradio-fr.com/737-camera-de-recul-ccd-audi-a6l-2009-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6L (2009-2011) _ FR737";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A6 _ FR736";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6 _ FR736";;;;"URL equals";https://autoradio-fr.com/736-camera-de-recul-ccd-audi-a6.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A6 _ FR736";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A5 (2009-2012) _ FR735";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A5 (2009-2012) _ FR735";;;;"URL equals";https://autoradio-fr.com/735-camera-de-recul-ccd-audi-a5-2009-2012.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A5 (2009-2012) _ FR735";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Vectra (2005-2008) _ FR56";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Vectra (2005-2008) _ FR56";;;;"URL equals";https://autoradio-fr.com/56-autoradio-gps-android-opel-vectra-2005-2008.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Vectra (2005-2008) _ FR56";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Antara (2006-2011) _ FR57";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Antara (2006-2011) _ FR57";;;;"URL equals";https://autoradio-fr.com/57-autoradio-gps-android-opel-antara-2006-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Antara (2006-2011) _ FR57";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Zafira (2005-2011) _ FR58";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Zafira (2005-2011) _ FR58";;;;"URL equals";https://autoradio-fr.com/58-autoradio-gps-android-opel-zafira-2005-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Zafira (2005-2011) _ FR58";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Corsa (2006-2011) _ FR59";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Corsa (2006-2011) _ FR59";;;;"URL equals";https://autoradio-fr.com/59-autoradio-gps-android-opel-corsa-2006-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Corsa (2006-2011) _ FR59";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Meriva (2006-2011) _ FR60";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Meriva (2006-2011) _ FR60";;;;"URL equals";https://autoradio-fr.com/60-autoradio-gps-android-opel-meriva-2006-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Meriva (2006-2011) _ FR60";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Astra (2004-2009) _ FR61";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Astra (2004-2009) _ FR61";;;;"URL equals";https://autoradio-fr.com/61-autoradio-gps-android-opel-astra-2004-2009.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Astra (2004-2009) _ FR61";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Opel Corsa 2015 _ FR62";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Corsa 2015 _ FR62";;;;"URL equals";https://autoradio-fr.com/62-autoradio-gps-android-opel-corsa-2015.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Opel Corsa 2015 _ FR62";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Renault Duster (2010-2017) _ FR63";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Renault Duster (2010-2017) _ FR63";;;;"URL equals";https://autoradio-fr.com/63-autoradio-gps-android-renault-duster-2010-2017.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Renault Duster (2010-2017) _ FR63";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio GPS Android 8.0 Renault Logan L90 _ FR64";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Renault Logan L90 _ FR64";;;;"URL equals";https://autoradio-fr.com/64-autoradio-gps-android-renault-logan-l90.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio GPS Android 8.0 Renault Logan L90 _ FR64";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A4L 2012 _ FR734";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4L 2012 _ FR734";;;;"URL equals";https://autoradio-fr.com/734-camera-de-recul-ccd-audi-a4l-2012.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4L 2012 _ FR734";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A4L (2009-2012) _ FR733";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4L (2009-2012) _ FR733";;;;"URL equals";https://autoradio-fr.com/733-camera-de-recul-ccd-audi-a4l-2009-2012.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4L (2009-2012) _ FR733";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A4 (2009-2011) _ FR732";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4 (2009-2011) _ FR732";;;;"URL equals";https://autoradio-fr.com/732-camera-de-recul-ccd-audi-a4-2009-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A4 (2009-2011) _ FR732";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A3 (2009-2011) _ FR731";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A3 (2009-2011) _ FR731";;;;"URL equals";https://autoradio-fr.com/731-camera-de-recul-ccd-audi-a3-2009-2011.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A3 (2009-2011) _ FR731";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A1 (2012-2013) _ FR730";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A1 (2012-2013) _ FR730";;;;"URL equals";https://autoradio-fr.com/730-camera-de-recul-ccd-audi-a1-2012-2013.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD Audi A1 (2012-2013) _ FR730";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD Audi A3 (2011-2012) _ FR729";;;;;;;;;Paused;Enabled
